id,node,cnt
4289,United_States,1551
4285,United_Kingdom,972
1565,France,959
1430,Europe,933
1382,England,751
4532,World_War_II,751
1691,Germany,743
2095,India,611
1386,English_language,598
2535,London,587
2223,Japan,573
768,Canada,571
394,Australia,563
2180,Italy,550
3823,Spain,539
3562,Russia,520
3645,Scientific_classification,519
894,China,496
268,Animal,492
129,Africa,477
2414,Latin,443
3007,North_America,410
4531,World_War_I,404
1329,Egypt,362
358,Asia,357
4141,Time_zone,351
907,Christianity,343
2951,Netherlands,342
3809,Soviet_Union,342
903,Chordate,338
3648,Scotland,338
4288,United_Nations,331
3318,Portugal,324
2146,Ireland,319
2958,New_York_City,317
1594,French_language,314
3797,South_Africa,311
3155,Paris,308
39,20th_century,306
2960,New_Zealand,301
581,Binomial_nomenclature,295
2167,Islam,295
3961,Sweden,293
1100,Currency,291
3281,Poland,288
25,19th_century,286
3192,People%27s_Republic_of_China,285
2743,Mexico,274
1278,Earth,269
2241,Jew,268
684,Brazil,261
754,California,251
378,Atlantic_Ocean,250
3966,Switzerland,249
4248,Turkey,249
1436,European_Union,248
3524,Roman_Catholic_Church,248
1790,Greece,246
2502,List_of_countries_by_system_of_government,246
3798,South_America,244
150,Agriculture,241
2757,Middle_Ages,239
590,Bird,237
2174,Israel,236
401,Austria,232
544,Belgium,230
1178,Denmark,230
3525,Roman_Empire,228
1688,German_language,225
2141,Iran,223
1547,Football_%28soccer%29,220
815,Carolus_Linnaeus,218
3017,Norway,218
3534,Rome,215
2758,Middle_East,209
3118,Oxygen,205
2153,Iron,204
2106,Indonesia,202
3827,Spanish_language,200
2623,Mammal,199
312,Arabic_language,197
2716,Mediterranean_Sea,192
4415,Water,191
3221,Philosophy,190
332,Argentina,189
3132,Pakistan,189
3130,Pacific_Ocean,185
3257,Plant,185
3932,Sun,183
4298,United_States_dollar,182
243,Ancient_Rome,181
792,Capital,181
1348,Electron,181
1769,Great_Britain,180
1731,Gold,179
998,Communism,175
427,BBC,173
3219,Philippines,173
20,18th_century,172
2034,Hungary,172
4274,Ukraine,171
4408,Washington%2C_D.C.,171
3212,Petroleum,170
3455,Religion,168
4387,Wales,168
961,Cold_War,166
1090,Cuba,165
2022,Human,165
884,Chicago,164
3110,Ottoman_Empire,164
242,Ancient_Greece,163
3338,President_of_the_United_States,163
2143,Iraq,159
4010,Television,158
969,Color,157
3213,Phase_%28matter%29,157
1035,Copper,156
1534,Florida,156
1507,Finland,155
2063,Hydrogen,155
3973,Syria,154
1173,Democracy,153
2686,Mathematics,151
3532,Romania,151
572,Bible,149
4024,Thailand,149
4173,Tourism,147
1516,Fish,146
2613,Malaysia,146
4353,Vietnam,146
221,American_Civil_War,145
2298,Judaism,145
721,Buddhism,144
4494,William_Shakespeare,144
128,Afghanistan,143
694,British_Empire,142
2838,Morocco,142
1501,Film,140
2933,Nazi_Germany,140
563,Berlin,138
871,Chemical_element,138
940,Climate,138
3644,Science,135
1417,Ethiopia,134
3801,South_Korea,134
1935,Hinduism,133
2828,Moon,133
734,Byzantine_Empire,131
1363,Elizabeth_II_of_the_United_Kingdom,131
2079,Iceland,131
1999,Hong_Kong,129
4371,Volcano,129
1748,Government,128
3240,Physics,128
3465,Republic_of_Ireland,128
3565,Russian_language,128
18,17th_century,127
2842,Moscow,127
1730,God,126
2601,Magnetism,126
16,16th_century,125
1558,Fossil,125
241,Ancient_Egypt,124
3206,Peru,124
946,Coal,123
3914,Sudan,123
891,Chile,122
2934,Nazism,122
3459,Renaissance,122
896,Chinese_language,121
2129,Internet,121
2777,Mineral,121
2503,List_of_elements_by_name,120
2953,Neutron,120
2097,Indian_Ocean,119
2913,Napoleon_I_of_France,118
3749,Slavery,118
3880,Steel,118
1279,Earth%27s_atmosphere,116
1444,Evolution,116
2238,Jesus,116
3738,Singapore,116
3853,Sri_Lanka,116
660,Boston%2C_Massachusetts,115
800,Carbon_dioxide,115
1681,George_W._Bush,114
1762,Gravitation,114
2430,Lebanon,114
348,Art,111
725,Bulgaria,110
2407,Language,110
3197,Periodic_table,110
3628,Saudi_Arabia,110
123,Adolf_Hitler,109
1346,Electricity,109
1599,Fruit,109
2993,Nitrogen,109
3320,Portuguese_language,109
2735,Metal,108
3463,Reptile,108
210,Aluminium,107
438,Bacteria,107
2415,Latin_America,107
4352,Vienna,107
1108,Cyprus,106
1293,Economics,106
2980,Nigeria,106
3733,Silver,106
337,Aristotle,105
1113,Czech_Republic,105
1878,Hebrew_language,105
2117,Insect,105
2327,Kenya,105
284,Antarctica,104
2589,Madagascar,104
2897,Myanmar,104
3360,Protein,104
799,Carbon,103
1264,Dutch_language,103
2460,Libya,103
3006,North_Africa,102
3409,Radio,102
188,Algeria,101
13,15th_century,100
1116,DNA,100
3616,Sanskrit,100
4233,Tropical_cyclone,100
341,Armenia,99
455,Bangladesh,99
1592,French_Revolution,99
2113,Industry,99
2875,Music,99
3767,Socialism,99
3785,Solar_System,99
1207,Dinosaur,98
2520,Lithuania,98
2859,Mozambique,98
967,Colombia,97
1097,Culture,97
1429,Euro,97
1992,Holy_Roman_Empire,97
2426,Lead,97
2712,Medicine,97
3552,Royal_Navy,97
3865,Star,97
779,Cancer,96
367,Astronomy,95
3991,Tanzania,95
4339,Venezuela,95
1709,Glass,94
2325,Kazakhstan,94
2733,Mesopotamia,94
1077,Croatia,93
2620,Malta,93
3981,Taiwan,93
4245,Tunisia,93
3307,Pope,92
3294,Politics,91
3500,River,91
480,Basketball,90
915,Church_of_England,90
2904,NATO,90
4529,World_Heritage_Site,90
168,Albert_Einstein,89
540,Beijing,89
1068,Cricket,89
2202,Jamaica,89
4354,Vietnam_War,89
696,British_House_of_Commons,88
1537,Flower,88
793,Capitalism,87
1005,Computer,87
1280,Earthquake,87
2112,Industrial_Revolution,87
2811,Monarchy,87
3788,Somalia,87
408,Automobile,86
2236,Jerusalem,86
2421,Law,86
2569,Luxembourg,86
3752,Slovakia,86
4584,Zimbabwe,86
9,12th_century,85
166,Albania,85
374,Athens,85
586,Biology,85
762,Cambodia,85
1066,Cretaceous,85
1380,Energy,85
1693,Ghana,85
3688,Serbia,85
4278,Ultraviolet,85
4508,Winston_Churchill,85
10,13th_century,84
1517,Fishing,84
1684,Georgia_%28country%29,84
1843,Haiti,84
2781,Mining,84
3013,Northern_Ireland,84
3202,Persian_Empire,84
3277,Poetry,84
750,Calcium,83
767,Cameroon,83
3071,Opera,83
4396,War,83
422,Azerbaijan,82
1056,Country,82
3681,Senegal,82
322,Architecture,81
873,Chemistry,81
2548,Los_Angeles%2C_California,81
2816,Mongolia,81
2927,Natural_gas,81
4273,Uganda,81
266,Angola,80
2162,Isaac_Newton,80
2229,Jazz,80
2517,Literature,80
3060,Olympic_Games,80
3919,Sugar,80
1054,Cotton,79
1175,Democratic_Republic_of_the_Congo,79
1304,Edinburgh,79
2627,Manchester,79
2924,Nationalism,79
3369,Puerto_Rico,79
4015,Tennis,79
4446,Westminster_Abbey,79
183,Alexander_the_Great,78
1662,Geology,78
4355,Viking,78
67,AIDS,77
318,Archaeology,77
2356,Korea,77
3022,Novel,77
3753,Slovenia,77
4268,U.S._state,77
4301,University,77
4303,University_of_Cambridge,77
4350,Victoria_of_the_United_Kingdom,77
591,Bird_migration,76
606,Black_Sea,76
2599,Magnesium,76
2762,Milan,76
2969,Nicaragua,76
3036,Ocean,76
3254,Planet,76
3263,Plato,76
3464,Republic_of_China,76
3533,Romanticism,76
3588,Saint_Petersburg,76
3594,Salt,76
4169,Toronto,76
832,Cattle,75
1158,Day,75
1300,Ecuador,75
1941,History,75
2694,Mauritius,75
3355,Propaganda,75
542,Belarus,74
659,Bosnia_and_Herzegovina,74
1907,Henry_VIII_of_England,74
2463,Light,74
2618,Mali,74
2608,Maize,73
2911,Namibia,73
